"Business.File.Number","License.Type","Entity.Name","Trade.Name","Facility.Zip.Code","ADDRESS"
"2015-BFN-0000622","Marijuana Grow Center","RJJ COLORADO SPRINGS, LLC","NATIVE ROOTS COLORADO SPRINGS","80216","4990 N DAHLIA ST , DENVER, CO"
"2015-BFN-0001062","Infrastructure Production Manufacturing","GRAND TRAVERSE HOLDINGS LLC","","80216","4444 N GARFIELD ST , DENVER, CO"
"2015-BFN-0000954","Marijuana Grow Center","RJJ ASPEN, LLC","NATIVE ROOTS ASPEN","80216","4990 N DAHLIA ST , DENVER, CO"
"2015-BFN-0000957","Marijuana Grow Center","ALTERNATIVE MEDICINE ON THE MALL LLC","NATIVE ROOTS APOTHECARY","80216","4990 N DAHLIA ST , DENVER, CO"
"2015-BFN-0003371","Marijuana Grow Center","LIGHTSHADE LABS, LLC","LIGHTSHADE","80216","4335 N RACE ST , DENVER, CO"
"2015-BFN-0003496","Infrastructure Production Manufacturing","HIGHLINE ANALYTICAL INDUSTRIES LLC","HONEYBEAR LABS","80223","1285 S BANNOCK ST , DENVER, CO"
"2015-BFN-0004345","Marijuana Grow Center","M.J.L. Q LLC","WHOLE MEDS","80207","5959 E 39TH AVE , DENVER, CO"
"2015-BFN-0004100","Medical Marijuana Center","TRILL EVOLUTIONS LLC","TRILL EVOLUTIONS","80239","5550 N JOLIET ST , DENVER, CO"
"2015-BFN-0005899","Infrastructure Production Manufacturing","RMZ, LLC","","80216","4875 E 41ST AVE , DENVER, CO"
"2015-BFN-0007650","Medical Marijuana Center","YUMA WAY LLC","1136 YUMA","80204","1136 N YUMA CT , DENVER, CO"
"2015-BFN-0008256","Marijuana Grow Center","AMERICAN INDUSTRY, LLC","DENVER CLONE STORE","80216","4571 N IVY ST , DENVER, CO"
"2016-BFN-0002157","Marijuana Grow Center","GREEN FIELDS LLC","GREENFIELDS",NA,"5200 E Smith  , DENVER, CO"
"2016-BFN-0004372","Retail Marijuana Store","BIG TOE LLC","FINE TREES","80239","5353 N JOLIET ST , DENVER, CO"
"2016-BFN-0006795","Infrastructure Production Manufacturing","B'S TREATS LLC","","80223","1952 S ACOMA ST , DENVER, CO"
"2016-BFN-0006932","Marijuana Grow Center","GREEN LIFE SOLUTIONS  LLC","GREEN TREE MEDICINALS","80239","4735 N OAKLAND ST , DENVER, CO"
"2016-BFN-0007492","Retail Marijuana Store","KTA LLC","THE LODGE","80205","3944 N HIGH ST , DENVER, CO"
"2017-BFN-0000775","Retail Marijuana Store","MJM HOLDINGS LIMITED","STICKY FINGERZ","80205","3954 N WILLIAMS ST , DENVER, CO"
"2017-BFN-0005438","Retail Marijuana Store","LBW CONSULTING GROUP LLC","","80239","5070 N Oakland ST , DENVER, CO"
"2018-BFN-0002888","Infrastructure Production Manufacturing","COLORADO GENERAL SERVICE PROVIDER","CGSP","80207","6767 E 39th Ave , DENVER, CO"
"2018-BFN-0002535","Infrastructure Production Manufacturing","BK HOLDINGS, LLC","THE HERBAL CENTER","80239","12001 E 37th Ave , DENVER, CO"
"2013-BFN-1068928","Retail Marijuana Store","THE GREEN SOLUTION, LLC","","80219","2601 W ALAMEDA AVE , DENVER, CO"
"2013-BFN-1065290","Medical Marijuana Center","CONCENTRATE LLC","WOLF PAC CANNABIS","80219","74 N FEDERAL BLVD , DENVER, CO"
"2013-BFN-1069577","Marijuana Grow Center","CAREGIVERS FOR LIFE LLC","","80219","2744 W 4th  , DENVER, CO"
"2013-BFN-1064198","Infrastructure Production Manufacturing","VIRGINIA'S KITCHEN, LLC","BLUEKUDU","80239","4805 N KINGSTON ST , DENVER, CO"
"2013-BFN-1069518","Retail Marijuana Store","MEDICINAL WELLNESS CENTER, LLC","OASIS CANNABIS SUPERSTORE","80222","6359 E EVANS AVE , DENVER, CO"
"2013-BFN-1069519","Marijuana Grow Center","MEDICINAL WELLNESS CENTER, LLC","","80239","5010  PARIS ST , DENVER, CO"
"2013-BFN-1069171","Marijuana Grow Center","MMST, LLC","WELLSPRING CANNABIS GARDENS","80223","1285 W BYERS PL , DENVER, CO"
"2013-BFN-1069175","Marijuana Grow Center","ORGANIC GREENS, INC.","NATURAL REMEDIES","80211","4105 N JASON ST , DENVER, CO"
"2013-BFN-1069948","Infrastructure Production Manufacturing","VIRGINIA'S KITCHEN, LLC","BLUEKUDU","80239","4805 N KINGSTON ST , DENVER, CO"
"2013-BFN-1068893","Infrastructure Production Manufacturing","NATURE'S GARDEN, INC","","80204","3936 W COLFAX AVE , DENVER, CO"
"2013-BFN-1070248","Retail Marijuana Store","GMC, LLC","GREEN MAN CANNABIS","80204","1355 N SANTA DR , DENVER, CO"
"2014-BFN-1070905","Infrastructure Production Manufacturing","MILE HIGH DISTRIBUTING LLC","","80223","775 S JASON ST , DENVER, CO"
"2013-BFN-1068503","Marijuana Grow Center","BEYOND BROADWAY, LLC","LIVWELL","80216","5141 N FRANKLIN ST , DENVER, CO"
"2013-BFN-1068510","Medical Marijuana Center","POTCO, LLC","POTCO","80239","11101 E 51ST AVE , DENVER, CO"
"2013-BFN-1068897","Marijuana Grow Center","ALTERNATIVE MEDICINE ON CAPITOL HILL LLC","","80223","211 N WYANDOT ST , DENVER, CO"
"2013-BFN-1068450","Marijuana Grow Center","ZUNI WELLNESS CENTER, LLC","THE LAB","80223","2675 S SANTA  , DENVER, CO"
"2013-BFN-1069392","Retail Marijuana Store","WASH PARK BOUTIQUE LLC","LUCY SKY CANNABIS BOUTIQUE","80210","2394 S BROADWAY  , DENVER, CO"
"2013-BFN-1069393","Marijuana Grow Center","WASH PARK BOUTIQUE, LLC","LUCY SKY CANNABIS BOUTIQUE","80239","4525 N IRONTON ST , DENVER, CO"
"2013-BFN-1068489","Infrastructure Production Manufacturing","LEFT BANK, LLC","DIXIE ELIXIRS, LLC","80239","4990 N OAKLAND ST , DENVER, CO"
"2013-BFN-1069427","Marijuana Grow Center","GREENWERKZ, LLC","","80204","830 N WYANDOT ST , DENVER, CO"
"2013-BFN-1068994","Marijuana Grow Center","NUTRITIONAL ELEMENTS, INC.","THE HEALTH CENTER","80239","4800 N NOME ST , DENVER, CO"
"2013-BFN-1069000","Retail Marijuana Store","DKC, LLC","DENVER KUSH CLUB","80205","2615  WELTON ST , DENVER, CO"
"2013-BFN-1068965","Retail Marijuana Store","SWEETWATER PARTNERS LLC","GOOD CHEMISTRY","80203","330 E COLFAX AVE , DENVER, CO"
"2013-BFN-1069410","Marijuana Grow Center","JS INVESTMENTS LLC","EUFLORA","80239","5300  JOLIET ST , DENVER, CO"
"2013-BFN-1069263","Marijuana Grow Center","WALKING RAVEN II, LLC","WALKING RAVEN","80204","875 N NAVAJO ST , DENVER, CO"
"2014-BFN-1074487","Marijuana Grow Center","FLOOBIES, LLC","BEMINDFUL","80207","3880 N HOLLY ST , DENVER, CO"
"2014-BFN-1074125","Marijuana Grow Center","CONCENTRATE LLC","CONCENTRATE","80239","11100 E 51ST AVE , DENVER, CO"
"2010-BFN-1045446","Medical Marijuana Center","KGBI COLORADO LLC","SPARK DISPENSARY","80216","3900 E 48th  , DENVER, CO"
"2014-BFN-0004053","Retail Marijuana Store","CANNABIS FOR HEALTH, LLC","PIG N' WHISTLE","80204","4801 W COLFAX AVE , DENVER, CO"
"2014-BFN-0003752","Marijuana Grow Center","I&S LLC","SILVER STEM FINE CANNABIS","80204","1235 N Umatilla  , DENVER, CO"
"2014-BFN-0004051","Marijuana Grow Center","CONSCIOUS CONFECTIONS, LLC","NATIVE ROOTS EXTRACTS","80204","680 N LIPAN ST , DENVER, CO"
"2014-BFN-0004169","Marijuana Grow Center","RJJ SHERIDAN, LLC","NATIVE ROOTS SOUTH","80216","4990 N DAHLIA ST , DENVER, CO"
"2014-BFN-0004211","Retail Marijuana Store","RJJ HIGHLANDS, LLC","NATIVE ROOTS HIGHLANDS","80211","2209 W 32ND AVE , DENVER, CO"
"2014-BFN-0005611","Marijuana Grow Center","JVJC HOLDINGS II, LLC","","80239","11155 E 51ST AVE , DENVER, CO"
"2015-BFN-0000021","Infrastructure Production Manufacturing","URBANE DEVELOPERS LLC","","80223","2191 S JASON ST , DENVER, CO"
"2014-BFN-0005409","Retail Marijuana Store","WELLNESS CENTER OF THE ROCKIES, INC","","80224","6853  LEETSDALE DR , DENVER, CO"
"2014-BFN-0005610","Retail Marijuana Store","JVJC HOLDINGS II, LLC","","80203","105 E 7TH AVE , DENVER, CO"
"2015-BFN-0000955","Marijuana Grow Center","THE DANDELION LLC","THE DANDELION","80216","4990 N DAHLIA ST , DENVER, CO"
"2015-BFN-0001509","Medical Marijuana Center","WEISS & COMPANY, LLC","","80216","3722  Chestnut  , DENVER, CO"
"2015-BFN-0003036","Infrastructure Production Manufacturing","AVICENNA PRODUCTS, LLC","HIGH TECH CONCENTRATES","80207","3950 N GRAPE ST , DENVER, CO"
"2015-BFN-0003664","Marijuana Grow Center","IHN HOLDINGS LLC","5280 WEEDERY LLC","80216","3895 E 45TH AVE , DENVER, CO"
"2015-BFN-0004103","Marijuana Grow Center","TRILL EVOLUTIONS LLC","TRILL EVOLUTIONS","80239","5550 N JOLIET ST , DENVER, CO"
"2015-BFN-0003811","Marijuana Grow Center","ADAMS GREEN CROSSING LLC","ADAMS GREEN CROSSING","80223","790 W EVANS AVE , DENVER, CO"
"2015-BFN-0006731","Retail Marijuana Store","RME GROUP LLC","AFFINITY","80220","7739 E COLFAX AVE , DENVER, CO"
"2015-BFN-0007427","Marijuana Grow Center","SMOKED COLORADO, INC.","MIGHTY TREE","80223","1994 S CHEROKEE ST , DENVER, CO"
"2015-BFN-0007814","Marijuana Grow Center","ROYAL ASSET MANAGEMENT, LLC","ROYAL RESIN","80216","4242 N ELIZABETH ST , DENVER, CO"
"2015-BFN-0007808","Marijuana Grow Center","YUMA WAY LLC","1136 YUMA","80204","1136 N YUMA CT , DENVER, CO"
"2015-BFN-0008303","Marijuana Grow Center","TOP SHELF, LLC","TOP SHELF","80223","1100 S KALAMATH ST , DENVER, CO"
"2015-BFN-0008222","Marijuana Grow Center","VIRGINIA'S KITCHEN, LLC","BLUEKUDU","80239","4805 N KINGSTON ST , DENVER, CO"
"2015-BFN-0008456","Marijuana Grow Center","FIREHOUSE ORGANICS SOUTH, LLC","HIGHER GRADE","80239","4800 N OAKLAND ST , DENVER, CO"
"2015-BFN-0008397","Marijuana Grow Center","BK HOLDINGS, LLC","THE HERBAL CENTER","80239","12001 E 37TH AVE , DENVER, CO"
"2016-BFN-0004371","Infrastructure Production Manufacturing","NATURAL REMEDIES TECH, LLC","CONCENTRATE REMEDIES, EDIBLE REMEDIES, VAPOR REMEDIES","80239","4675 N Kingston  , DENVER, CO"
"2016-BFN-0004803","Marijuana Grow Center","VENTURE PRODUCT CONSULTING, LLC","RIZE","80216","4242 N ELIZABETH ST , DENVER, CO"
"2016-BFN-0005953","Infrastructure Production Manufacturing","CL PROCESSES, LLC","","80239","3770 N JOLIET ST , DENVER, CO"
"2016-BFN-0006784","Infrastructure Production Manufacturing","CANYON LLC","","80204","678 N BRYANT ST , DENVER, CO"
"2017-BFN-0002515","Infrastructure Production Manufacturing","COLORADO MEDICAL PROCESSING, LLC","COLORADO BEST DABS","80239","5475 N Peoria ST , DENVER, CO"
"2017-BFN-0007085","Marijuana Transporter","LSC COLORADO INC","GREEN TRUCK","80223","153 N VALLEJO ST , DENVER, CO"
"2017-BFN-0007534","Marijuana Transporter","COLORADO LOGISTICS, LLC","","80223","2145 S Platte Dr , DENVER, CO"
"2017-BFN-0008656","Infrastructure Production Manufacturing","CL PROCESSES LLC","","80239","3770 N Joliet St , DENVER, CO"
"2018-BFN-0002892","Marijuana Transporter","GPS TRANSPORTATION, LLC","","80223","2186 S Jason St , DENVER, CO"
"2010-BFN-1045894","Medical Marijuana Center","UNIQUEITMINDS INC","CHRONORADO MEDICAL","80224","6625  LEETSDALE DR , DENVER, CO"
"2010-BFN-1045924","Medical Marijuana Center","COMPASSIONATE CARE GIVERS, INC.","ROCKY MOUNTAIN HIGH","80223","1233 W ALAMEDA AVE , DENVER, CO"
"2010-BFN-1045691","Medical Marijuana Center","HERBAL HEALTH, LLC","LOCAL PRODUCT OF COLORADO","80204","419 W 13TH AVE , DENVER, CO"
"2010-BFN-1045744","Medical Marijuana Center","GREEN CROSS LLC","GREEN CROSS OF CHERRY CREEK","80224","3400 S ONEIDA WAY , DENVER, CO"
"2010-BFN-1046101","Medical Marijuana Center","AMERICAN INDUSTRY, LLC","DENVER CLONE STORE","80216","4571 N IVY ST , DENVER, CO"
"2010-BFN-1045702","Medical Marijuana Center","DGS, INC","THE KIND ROOM","80210","1881 S BROADWAY  , DENVER, CO"
"2010-BFN-1045766","Medical Marijuana Center","CONCENTRATE LLC","CONCENTRATE","80222","2420 S COLORADO BLVD , DENVER, CO"
"2012-BFN-1060949","Marijuana Grow Center","STANDING AKIMBO, LLC","","80216","835 E 50TH AVE , DENVER, CO"
"2012-BFN-1060952","Marijuana Grow Center","BUSHES, LLC","",NA,"2650 W 6th  , DENVER, CO"
"2012-BFN-1062012","Marijuana Grow Center","GANJA GOURMET, LLC","GANJA GOURMET","80216","4902 E SMITH RD , DENVER, CO"
"2012-BFN-1061631","Marijuana Grow Center","DENVER DISPENSARY, LLC","DENVER DISPENSARY LLC","80216","4975 N VASQUEZ BLVD , DENVER, CO"
"2012-BFN-1060608","Marijuana Grow Center","GREEN KIWI 2, LLC","LIVWELL","80205","1660 E 40TH AVE , DENVER, CO"
"2012-BFN-1060648","Marijuana Grow Center","THE GIVING TREE OF DENVER, LLC","","80223","1255 S HURON ST , DENVER, CO"
"2012-BFN-1061023","Infrastructure Production Manufacturing","CLEARVIEW INDUSTRIES LLC","","80223","2145 W EVANS AVE , DENVER, CO"
"2012-BFN-1063143","Infrastructure Production Manufacturing","CLAUDETTE HOMEGROWN LLC","MOUNTAIN MEDICINES","80203","334 E COLFAX AVE , DENVER, CO"
"2012-BFN-1061657","Marijuana Grow Center","GT VENTURES I, LLC","PANDO","80204","777 N Canosa CT , DENVER, CO"
"2012-BFN-1061571","Marijuana Grow Center","CONNOISSEURS GENETICS & CONCENTRATES, LLC","","80223","2255 S KALAMATH ST , DENVER, CO"
"2012-BFN-1061575","Marijuana Grow Center","OPTIONS MEDICAL CENTER WR, LLC","OPTIONS","80223","1191 S BANNOCK ST , DENVER, CO"
"2012-BFN-1061589","Marijuana Grow Center","LEVELS IV INC","LEVELS IV INC","80207","3857 N ELM ST , DENVER, CO"
"2013-BFN-1065013","Marijuana Grow Center","TWOG-YORK, LLC","BUDDY BOY","80216","4501  WYNKOOP ST , DENVER, CO"
"2012-BFN-1062296","Infrastructure Production Manufacturing","NATURE'S GARDEN, INC","NATURE'S GARDEN","80204","3936 W COLFAX AVE , DENVER, CO"
"2013-BFN-1067918","Marijuana Grow Center","NEW AGE MEDICAL, LLC","","80223","801 W BAYAUD AVE , DENVER, CO"
"2013-BFN-1067920","Marijuana Grow Center","BEYOND BROADWAY, LLC","LIVWELL","80216","5141 N FRANKLIN ST , DENVER, CO"
"2013-BFN-1069779","Marijuana Grow Center","RR SERVICES LLC","","80223","2252 S KALAMATH ST , DENVER, CO"
"2013-BFN-1070079","Retail Marijuana Store","WASH PARK BOUTIQUE, LLC","LUCY SKY CANNABIS BOUTIQUE","80210","2215 E MISSISSIPPI AVE , DENVER, CO"
"2013-BFN-1070405","Retail Marijuana Store","COMPASSIONATE CARE GIVERS, INC","CANNABIS STATION","80202","1201  20TH ST , DENVER, CO"
"2013-BFN-1070410","Marijuana Grow Center","ALTITUDE WELLNESS CENTER, LLC","NATURE'S HERBS & WELLNESS DTC","80205","1930 E 40th AVE , DENVER, CO"
"2013-BFN-1070422","Retail Marijuana Store","DENVER DISPENSARY, LLC","DENVER DISPENSARY, LLC","80216","4975 N VASQUEZ BLVD , DENVER, CO"
"2014-BFN-1071539","Infrastructure Production Manufacturing","CC BRANDS, LLC","CHEEBA CHEWS","80216","4945 N PEARL ST , DENVER, CO"
"2013-BFN-1068323","Medical Marijuana Center","UNIVERSAL HERBS, LLC","UNIVERSAL HERBS","80223","755 S JASON ST , DENVER, CO"
"2013-BFN-1068850","Retail Marijuana Store","CONCENTRATE LLC","CONCENTRATE","80219","74 N FEDERAL BLVD , DENVER, CO"
"2013-BFN-1068852","Retail Marijuana Store","4095 SHELTER, LLC","","80216","4095 N JACKSON ST , DENVER, CO"
"2014-BFN-1071325","Marijuana Grow Center","COMPASSIONATE PAIN MANAGEMENT, LLC","AJOYA","80223","1975 S BANNOCK ST , DENVER, CO"
"2014-BFN-1070925","Infrastructure Production Manufacturing","LAB 710, LLC","LAB 710","80223","1346 W CEDAR AVE , DENVER, CO"
"2014-BFN-1070934","Marijuana Grow Center","JVJC HOLDINGS III, LLC","","80205","3887 N STEELE ST , DENVER, CO"
"2013-BFN-1069382","Retail Marijuana Store","WDG, INC.","BEMINDFUL","80220","5926 E COLFAX AVE , DENVER, CO"
"2014-BFN-1072789","Retail Marijuana Store","PATIENTS PLUS LLC","GENERATION HEALTH","80216","4500 N WASHINGTON ST , DENVER, CO"
"2014-BFN-1073721","Marijuana Grow Center","PATIENTS PLUS LLC","","80204","505 N BRYANT ST , DENVER, CO"
"2014-BFN-1073638","Medical Marijuana Center","C.G. INDUSTRY, LLC","CROSS GENETICS","80216","4902 E SMITH RD , DENVER, CO"
"2014-BFN-1071725","Marijuana Grow Center","JVT ENTERPRISES, INC.","COLORADO CANNABIS CONNECTION",NA,"1075 S JASON ST , DENVER, CO"
"2014-BFN-0003085","Retail Marijuana Store","PEAK HOLDINGS GROUP, LLC","PEAK DISPENSARY","80203","260 N BROADWAY  , DENVER, CO"
"2013-BFN-1068866","Retail Marijuana Store","JGB VENTURES, LLC","DANK LLC","80207","3835 N Elm ST , DENVER, CO"
"2015-BFN-0000208","Retail Marijuana Store","CG NETWORK, LLC","GROUNDSWELL","80206","3121 E COLFAX AVE , DENVER, CO"
"2015-BFN-0001155","Medical Marijuana Center","LEVELS IV, INC","LEVELS IV INC","80212","5201 W 48TH AVE , DENVER, CO"
"2015-BFN-0001792","Marijuana Grow Center","RJJ EDGEWATER LLC","NATIVE ROOTS EDGEWATER","80216","4990 N Dahlia St , DENVER, CO"
"2015-BFN-0003214","Marijuana Grow Center","MILE HIGH DISPENSARY, LLC","MILE HIGH DISPENSARY","80223","54 N LIPAN ST , DENVER, CO"
"2015-BFN-0003449","Marijuana Grow Center","DARK HORSE GENETICS LLC","","80223","2145 S KALAMATH ST , DENVER, CO"
"2015-BFN-0004648","Retail Marijuana Store","SHRED INVESTMENTS, LLC","HIGH WEST CANNABIS","80239","10625 E 51st AVE , DENVER, CO"
"2015-BFN-0006479","Retail Marijuana Store","SIMPLY PURE COLORADO, LLC","SIMPLY PURE","80211","2000 W 32ND AVE , DENVER, CO"
"2015-BFN-0007832","Infrastructure Production Manufacturing","WONDERLAND EDIBLES, LTD.","","80239","5475 N PEORIA ST , DENVER, CO"
"2015-BFN-0008129","Marijuana Grow Center","GREEN AROUND YOU, LLC","GOLDEN MEDS, INC.","80216","4840 N JACKSON ST , DENVER, CO"
"2015-BFN-0008251","Marijuana Grow Center","O LIMITED","SILVER STEM FINE CANNABIS","80204","1235 N UMATILLA ST , DENVER, CO"
"2015-BFN-0007696","Marijuana Grow Center","RJJ SHERIDAN, LLC","NATIVE ROOTS LITTLETON","80216","4990 N DAHLIA ST , DENVER, CO"
"2015-BFN-0008113","Retail Marijuana Store","HERBAL HEALTH, LLC","LOCAL PRODUCT OF COLORADO","80204","419 W 13TH AVE , DENVER, CO"
"2015-BFN-0008458","Infrastructure Production Manufacturing","Mx, LLC","","80239","3855 N QUENTIN ST , DENVER, CO"
"2015-BFN-0008469","Infrastructure Production Manufacturing","ELIOT GROUP, LLC","","80216","5200 E SMITH RD , DENVER, CO"
"2015-BFN-0008479","Marijuana Grow Center","TESLA LLC","",NA,"5200 E Smith Rd , DENVER, CO"
"2015-BFN-0008422","Infrastructure Production Manufacturing","VENTURE PRODUCT CONSULTING, LLC","RIZE","80216","4242 N ELIZABETH ST , DENVER, CO"
"2015-BFN-0008421","Marijuana Grow Center","VENTURE PRODUCT CONSULTING, LLC","RIZE","80216","4242 N ELIZABETH ST , DENVER, CO"
"2016-BFN-0004809","Retail Marijuana Store","SMOKED COLORADO, INC.","MIGHTY TREE","80223","2268 S DELAWARE ST , DENVER, CO"
"2016-BFN-0005811","Infrastructure Production Manufacturing","L'EAGLE SERVICES LLC","L'EAGLE SERVICES LLC","80223","380 N Quivas  , DENVER, CO"
"2017-BFN-0000990","Infrastructure Production Manufacturing","AMERICAN INDUSTRY LLC","DENVER CLONE STORE","80216","4571 N Ivy ST , DENVER, CO"
"2017-BFN-0005699","Marijuana Grow Center","URBAN HEALTH & WELLNESS, INC.","URBAN DISPENSARY","80216","4850 N JACKSON ST , DENVER, CO"
"2010-BFN-1048204","Medical Marijuana Center","RIVERROCK, LLC","RIVERROCK WELLNESS","80216","4935 N YORK ST , DENVER, CO"
"2010-BFN-1048159","Medical Marijuana Center","DENVER DISPENSARY, LLC","DENVER DISPENSARY","80216","4975 N VASQUEZ BLVD , DENVER, CO"
"2010-BFN-1048178","Medical Marijuana Center","KAYAK CORP","AMSTERDAM CAFE",NA,"1325 S INCA ST , DENVER, CO"
"2010-BFN-1045623","Medical Marijuana Center","THE PURPLE DRAGON LLC","","80211","2243 N FEDERAL BLVD , DENVER, CO"
"2012-BFN-1063644","Marijuana Grow Center","DENVER PATIENTS GROUP, LLC","LIVWELL","80216","5141 N FRANKLIN ST , DENVER, CO"
"2012-BFN-1060717","Marijuana Grow Center","ALLGREENS, LLC","","80239","5475 N Peoria  , DENVER, CO"
"2010-BFN-1045890","Medical Marijuana Center","LOTUS MEDICAL LLC","","80202","1444  WAZEE ST , DENVER, CO"
"2010-BFN-1047659","Medical Marijuana Center","MEDICINAL WELLNESS CENTER, LLC","OASIS CANNABIS SUPER STORE","80222","6359 E EVANS AVE , DENVER, CO"
"2010-BFN-1048452","Medical Marijuana Center","HIGHLANDS WELLNESS CENTER LLC","THE CLINIC HIGHLANDS","80211","3460 W 32ND AVE , DENVER, CO"
"2010-BFN-1048491","Medical Marijuana Center","PEAK HOLDINGS GROUP, LLC","PEAK","80203","260 N BROADWAY  , DENVER, CO"
"2010-BFN-1045728","Medical Marijuana Center","DKC, LLC","DENVER KUSH CLUB","80205","2615  WELTON ST , DENVER, CO"
"2010-BFN-1045509","Medical Marijuana Center","WASH PARK BOUTIQUE LLC","LUCY SKY CANNABIS BOUTIQUE","80210","2394 S BROADWAY  , DENVER, CO"
"2010-BFN-1045839","Medical Marijuana Center","WANNA LLC","NORTHERN LIGHTS CANNABIS CO","80223","183 W ALAMEDA AVE , DENVER, CO"
"2010-BFN-1045852","Medical Marijuana Center","HERBAL ALTERNATIVES, LLC","NEW BROADSTERDAM","80210","2568 S BROADWAY ST , DENVER, CO"
"2010-BFN-1045856","Medical Marijuana Center","WASH PARK BOUTIQUE LLC","LUCY SKY DISPENSARY","80231","3480 S GALENA ST , DENVER, CO"
"2010-BFN-1046038","Medical Marijuana Center","TWOG-WALNUT, LLC","BUDDY BOY","80205","3814  WALNUT ST , DENVER, CO"
"2010-BFN-1045587","Medical Marijuana Center","GREEN KIWI 1, LLC","LIVWELL","80207","3955 N ONEIDA ST , DENVER, CO"
"2010-BFN-1045771","Medical Marijuana Center","SISSCO LLC","TRENCHTOWN","80214","734 N SHERIDAN BLVD , DENVER, CO"
"2010-BFN-1045777","Medical Marijuana Center","WDG, INC.","BEMINDFUL","80220","5926 E COLFAX AVE , DENVER, CO"
"2010-BFN-1045778","Medical Marijuana Center","FIREHOUSE ORGANICS SOUTH, LLC","HIGHER GRADE","80211","3111 W 38TH AVE , DENVER, CO"
"2010-BFN-1045789","Medical Marijuana Center","LITTLE GREEN PHARMACY, INC","","80210","1331 S BROADWAY  , DENVER, CO"
"2012-BFN-1060934","Marijuana Grow Center","BEYOND BROADWAY, LLC","LIVWELL","80216","5141 N FRANKLIN ST , DENVER, CO"
"2012-BFN-1060951","Marijuana Grow Center","MEDICAL CANNABIS COLORADO LLC","CURE COLORADO","80205","3930  BLAKE ST , DENVER, CO"
"2012-BFN-1062564","Marijuana Grow Center","TWOG-WALNUT, LLC","BUDDY BOY","80205","3814  WALNUT ST , DENVER, CO"
"2012-BFN-1061635","Infrastructure Production Manufacturing","FIREHOUSE ORGANICS CENTRAL, LLC","FIREHOUSE ORGANICS","80204","543 N BRYANT ST , DENVER, CO"
